OAKB;Khwaja Rawash, Kabul, Afghanistan
OMDM;Military Airport, Minhad Ab, United Arab Emirates
OMFJ;Fujairah Intl Arpt, Al-Fujairah, United Arab Emirates
OMRK;Ras Al Khaimah International Airport, Ras Al Khaimah, United Arab Emirates
OMSJ;Sharjah International Airport, Sharjah, United Arab Emirates
EGAA;Belfast International Airport, Belfast, United Kingdom
EGAB;St Angelo, Enniskillen, United Kingdom
EGAC;Belfast City Airport, Belfast, United Kingdom
EGAE;Eglinton, Londonderry, United Kingdom
EGBB;International, Birmingham, United Kingdom
EGBE;Baginton, Coventry, United Kingdom
EGBJ;Staverton Private, Gloucester, United Kingdom
EGBN;Nottingham Airport, Nottingham, United Kingdom
EGCC;Ringway, Manchester, United Kingdom
EGCN;Robin Hood Airport, Doncaster Sheffield, United Kingdom
EGDG;St Mawgan, Newquay, United Kingdom
EGEC;Machrihanish, Campbeltown, United Kingdom
EGEO;North Connel, Oban, United Kingdom
EGFF;Cardiff-Wales Airport, Cardiff, United Kingdom
EGFH;Fairwood Comm, Swansea, United Kingdom
EGGD;Lulsgate, Bristol, United Kingdom
EGGP;John Lennon Airport, Liverpool, United Kingdom
EGGW;Luton International Airport, London, United Kingdom
EGHD;Roborough, Plymouth, United Kingdom
EGHE;Saint Mary's, Scilly Isles, United Kingdom
EGHH;International, Bournemouth, United Kingdom
EGHI;Eastleigh, Southampton, United Kingdom
EGHK;Heliport, Penzance, United Kingdom
EGHR;Goodwood, Chichester, United Kingdom
EGJA;Channel Island, Alderney, United Kingdom
EGKB;Biggin Hill, London, United Kingdom
EGKK;Gatwick, London, United Kingdom
EGLC;London City Airport, London, United Kingdom
EGLL;Heathrow, London, United Kingdom
EGMC;London Southend Airport, Southend-On-Sea, United Kingdom
EGMD;Lydd International, Lydd, United Kingdom
EGMH;Kent International Airport-Manston, Manston, United Kingdom
EGNC;Carlisle Airport, Carlisle, United Kingdom
EGNL;Walney Island, Barrow-In-Furness, United Kingdom
EGNM;Leeds Bradford International Airport, Leeds Bradford, United Kingdom
EGNR;Chester Airport, Harwarden, United Kingdom
EGNS;Ronaldsway, Isle Of Man, United Kingdom
EGNV;Durham & Tees Valley Airport, Durham Tees Valley, United Kingdom
EGNX;Nottingham East Midlands Airport, East Midlands, United Kingdom
EGPB;Sumburgh Cape, Sumburgh, United Kingdom
EGPD;Dyce, Aberdeen, United Kingdom
EGPE;Dalcross, Inverness, United Kingdom
EGPF;International, Glasgow, United Kingdom
EGPH;Turnhouse, Edinburgh, United Kingdom
EGPI;Glenegedaie, Islay, United Kingdom
EGPK;Prestwick Airport, Glasgow, United Kingdom
EGPM;Shetland Island, Scatsta, United Kingdom
EGPN;Riverside, Dundee, United Kingdom
EGPR;North Bay, Barra, United Kingdom
EGPT;Scone, Perth, United Kingdom
EGQL;RAF Leuchars, St. Andrews, United Kingdom
EGRR;Beaufort Park, Bracknell MET HQ, United Kingdom
EGSB;Castle Mill, Bedford, United Kingdom
EGSS;Stansted, London, United Kingdom
EGTE;Exeter International Airport, Exeter Airport, United Kingdom
EGTG;Filton, Bristol, United Kingdom
EGTK;Kidlington, Oxford, United Kingdom
EGUD;RAF Station, Abingdon, United Kingdom
EGVW;Thurleigh (Military), Bedford, United Kingdom
EGXW;RAF Station, Waddington, United Kingdom
KAAF;Municipal, Apalachicola, United States of America
KAAP;Andrau Airpark, Houston, United States of America
KABE;Lehigh Valley International Airport, Allentown-Bethlehem-Easton, United States of America
KABI;Municipal - Metropolitan / City Code, Abilene, United States of America
KABQ;International Airport, Albuquerque, United States of America
KABR;Municipal, Aberdeen, United States of America
KABY;Southwest Georgia Regional Airport, Albany, United States of America
KABY;Dougherly County, Albany, United States of America
KACB;Antrim County, Bellaire, United States of America
KACK;Nantucket Memorial Airport, Nantucket, United States of America
KACT;Waco Regional Airport, Waco, United States of America
KACT;Municipal, Waco, United States of America
KACV;Arcata Airport, Arcata / Eureka, United States of America
KACY;Atlantic City International Airport, Atlantic City, United States of America
KADG;Lenawee County, Adrian, United States of America
KADM;Ardmore Municipal, Ardmore, United States of America
KADQ;Kodiak Airport, Kodiak, United States of America
KADS;Addison Airport, Dallas, United States of America
KADW;Andrews AFB, Camp Springs, United States of America
KAEX;Alexandria International Airport, Alexandria, United States of America
KAFF;USAF Academy, Colorado Springs, United States of America
KAFN;Jaffrey Municipal-Silver Ranch Airport, Jaffrey, United States of America
KAFO;Municinal, Afton, United States of America
KAFW;Fort Worth Alliance Airport, Fort Worth, United States of America
KAGC;Allegheny County Airport, Pittsburgh, United States of America
KAGO;Municipal, Magnolia, United States of America
KAGS;Bush Field, Augusta, United States of America
KAHC;Amedee AAF, Herlong, United States of America
KAHD;Downtown, Ardmore, United States of America
KAHF;Municipal, Arapahoe, United States of America
KAHH;Municipal, Amery, United States of America
KAHN;Athens Airport, Athens, United States of America
KAIA;Alliance Municipal Airport, Alliance, United States of America
KAID;Municipal, Anderson, United States of America
KAIK;Municipal, Aiken, United States of America
KAIV;George Downer, Aliceville, United States of America
KAIY;Bader Field, Atlantic City, United States of America
KAIZ;Lee C Fine Memorial, Kaiser/Lake Ozark, United States of America
KAKC;Fulton International, Akron/Canton, United States of America
KAKH;Gastonia Municipal Airport, Gastonia, NC, United States of America
KAKO;Akron-Washington County Airport, Akron, United States of America
KAKQ;Wakefield Municipal Airport, Wakefield, VA, United States of America
KAKR;Akron Fulton International Airport, Akron, OH, United States of America
KAKW;Klawock Airport, Klawock, United States of America
KALB;Albany County Airport, Albany, United States of America
KALI;Alice International Airport, Alice, United States of America
KALM;Municipal, Alamogordo-White, United States of America
KALN;St Louis Regional, Alton, United States of America
KALO;Waterloo Municipal Airport, Waterloo, United States of America
KALS;San Luis Valley Regional Airport, Aiamosa, United States of America
KALW;Walla Walla Regional Airport, Walla Walla, United States of America
KALX;Thomas C Russell FId, Alexander City, United States of America
KALZ;Alitak SPB, Alitak, United States of America
KAMA;Amarillo International Airport, Amarillo, United States of America
KAMG;Bacon County Airport, Alma, GA, United States of America
KAMK;Animas Airpark, Durango, United States of America
KAMN;Gratiot Community, Alma, United States of America
KAMW;Ames Municipal Airport, Ames, United States of America
KANB;Anniston Metropolitan Airport, Anniston, United States of America
KANB;County Airport, Anniston, United States of America
KAND;Anderson County Airport, Anderson, United States of America
KANP;Lee, Annapolis, United States of America
KANQ;Tri-State Steuben Cty, Angola, United States of America
KANW;Municipal Airport, Ainsworth, United States of America
KAOH;Lima Allen County Airport, Lima, United States of America
KAOO;Altoona-Blair County Airport, Altoona, United States of America
KAPA;Centennial Airport, Denver, United States of America
KAPA;Arapahoe Co, Denver, United States of America
KAPC;Napa County Airport, Napa, United States of America
KAPF;Naples Municipal, Naples, United States of America
KAPG;Phillips AAF, Aberdeen, United States of America
KAPH;Camp A P Hill, Bowling Green, United States of America
KAPN;Alpena County Regional Airport, Alpena, United States of America
KAPT;Marion County, Jasper, United States of America
KAQW;Harriman-And-West Airport, North Adams, MA, United States of America
KARA;Acadiana Regional Airport, New Iberia, United States of America
KARB;Ann Arbor Municipal Airport, Ann Arbor, United States of America
KARR;Aurora Municipal Airport, Chicago, IL, United States of America
KART;Watertown International Airport, Watertown, United States of America
KARV;Noble F. Lee, Minocqua, United States of America
KASE;Aspen-Pitkin County Airport, Aspen, United States of America
KASH;Boire Field, Nashua, United States of America
KASL;Harrison County, Marshall, United States of America
KAST;Astoria Regional Airport, Astoria, United States of America
KASX;Kennedy Memorial Airport, Ashland, United States of America
KATL;William B Hartsfield, Atlanta, United States of America
KATO;Ohio University, Athens, United States of America
KATU;Casco Cove, Attu Island, United States of America
KATW;Outagamie County, Appleton, United States of America
KATY;Watertown Municipal Airport, Watertown, United States of America
KAUG;Augusta State Airport, Augusta, United States of America
KAUM;Austin Municipal, Austin, United States of America
KAUO;Auburn-Opelika Airport, Auburn, United States of America
KAUS;Bergstrom, Austin, United States of America
KAUW;Municipal, Wausau, United States of America
KAUW;Wausau Downtown Airport, Wausau, United States of America
KAUZ;Municipal Airport, Aurora, United States of America
KAVL;Asheville Regional Airport, Asheville, United States of America
KAVL;Municipal, Astieville, United States of America
KAVO;Municipal, Avon Park, United States of America
KAVP;Scranton International Airport, Wilkesbarre-Scranton wilkes-Barre /, United States of America
KAVP;International, Wilkes-Barre, United States of America
KAVP;International, Scranton, United States of America
KAVW;Avra Valley, Tucson, United States of America
KAVX;Catalina Airport, Avalon, United States of America
KAVX;Avalon Bay, Cataiina Island, United States of America
KAWI;Wainwright Airport, Wainwright, United States of America
KAWM;Municipal, West Memphis, United States of America
KAWO;Arlington Municipal, Arlington, WA, United States of America
KAXN;Chandler Field, Alexandria, United States of America
KAXS;Municipal, Altus, United States of America
KAXV;Neil Armstrong, Wapakoneta, United States of America
KAYE;AAF Heliport, Fort Devens / Ayer, United States of America
KAYS;Ware County, Waycross, United States of America
KAYZ;Zahns, Amityville, United States of America
KAZO;Battle Creek International Airport, Kalamazoo, United States of America
KBAB;Beale AFB, Marysville, United States of America
KBAD;Barksdale AFB, Shreveport, United States of America
KBAF;Barnes Municipal Airport, Westfield, United States of America
KBAM;Lander County, Battle Mountain, United States of America
KBAR;Baker AAF, Baker Island, United States of America
KBBB;Municipal Aiport, Benson, United States of America
KBBD;Curtis Field, Brady, United States of America
KBBW;Broken Bow Municipal Airport, Broken Bow, United States of America
KBBX;Wings Field, Blue Bell, United States of America
KBCB;Virginia Tech Airport, Blacksburg, United States of America
KBCE;Bryce Canyon Airport, Bryce Canyon, United States of America
KBCS;Southern Seaplane, Belle Chasse, United States of America
KBCT;Public, Boca Raton, United States of America
KBDE;Baudette International Airport, Baudette, United States of America
KBDF;Rinkenberger, Bradford, United States of America
KBDL;Bradley International Airport, Springfield, United States of America
KBDL;Bradley International Airport, Windsor Locks, United States of America
KBDL;Bradley International, Hartford, United States of America
KBDR;Igor I. Sikorsky Memorial Airport, Bridgeport, United States of America
KBDY;State, Bandon, United States of America
KBEC;Beech, Wichita, United States of America
KBED;Hanscom Field, Bedford, United States of America
KBEH;Southwest Michigan Regional Airport, Benton Harbor, United States of America
KBEH;Ross Field, Benton Harbor, United States of America
KBFD;Bradford Regional Airport, Bradford, United States of America
KBFF;Scoffs Bluff County, Scottsbiuff, United States of America
KBFF;Heilig Field, Scottsbluff, United States of America
KBFI;Boeing Field International, Seattle, United States of America
KBFK;Buckley ANG Base, Denver, United States of America
KBFL;Meadows Field, Bakersfield, United States of America
KBFM;Mobile Downtown Airport, Mobile, United States of America
KBFM;Mob Aerospace, Mobile, United States of America
KBFR;Virgil I Grissom Muni, Bedford, United States of America
KBFT;County, Beaufort, United States of America
KBGD;Hutchinson County Airport, Borger, United States of America
KBGE;Decatur County, Bainbridge, United States of America
KBGM;Binghamton Regional Airport, Binghamton, United States of America
KBGR;Bangor International Airport, Bangor, United States of America
KBGS;Webb AFB, Big Spring, United States of America
KBHM;Birmingham International Airport, Birmingham, United States of America
KBIE;Beatrice Municipal Airport, Beatrice, United States of America
KBIF;Biggs AAF, El Paso, United States of America
KBIG;Intermediate Field, Big Delta, United States of America
KBIG;Ft Greelylen Army Air Field, Delta Junction, United States of America
KBIH;Bishop Airport, Bishop, United States of America
KBIL;Billings Logan International Airport, Billings, United States of America
KBIS;Bismarck Municipal Airport, Bismarck, United States of America
KBIX;Keesler AFB, Biloxi, United States of America
KBJC;Jeffco, Broomfield, United States of America
KBJI;Bemidji Municipal Airport, Bemidji, United States of America
KBJJ;Wayne County Airport, Wooster, United States of America
KBKD;Stephens County, Breckenridge, United States of America
KBKE;Baker Municipal Airport, Baker, United States of America
KBKH;Barking Sands, Kekaha, United States of America
KBKL;Burke Lakefront Airport, Cleveland, United States of America
KBKT;Blackstone AAF, Camp Pickett, United States of America
KBKT;Blackstone AAF, Blackstone, United States of America
KBKW;Raleigh County Memorial Airport, Beckley, United States of America
KBLF;Mercer County Airport, Bluefield, United States of America
KBLH;Blythe Airport, Blythe, United States of America
KBLI;Bellingham International Airport, Bellingham, United States of America
KBLM;Monmouth County, Belmar-Farmdale, United States of America
KBLU;Nyack Airport, Emigrant Gap / Blue Canyon, United States of America
KBLV;Scott AFB, Belleville, United States of America
KBLW;Bellows Field, Waimanalo, United States of America
KBMG;Monroe County Airport, Bloomington, United States of America
KBML;Berlin Municipal Airport, Berlin, United States of America
KBMT;Beaumont Muni, Beaumont, United States of America
KBNA;Metropolitan, Nashville, United States of America
KBNA;Nashville International Airport, Nashville, United States of America
KBNF;Warm Spring Bay SPB, Baranof, United States of America
KBNH;Barnes, Hartford, United States of America
KBNL;Barnwell County, Barnwell, United States of America
KBNO;Burns Municipal Airport, Burns, United States of America
KBNW;Boone Municipal Airport, Boone, United States of America
KBOF;Boiling AFB, Washington, United States of America
KBOI;Boise Air Terminal (Gowen Fld), Boise, United States of America
KBOK;Brookings State, Brookings, United States of America
KBOS;Logan International Airport, Boston, United States of America
KBOW;Bartow Municipal Airport, Bartow, United States of America
KBPA;Grumman, Bethpage, United States of America
KBPG;Big Spring McMahon-Wrinkle Airport, Big Spring, United States of America
KBPI;Big Piney-Marbleton Airport, Big Piney, United States of America
KBPT;Jefferson County Airport, Beaumont / Port Arthur, United States of America
KBQK;Glynco Jetport, Brunswick, United States of America
KBQV;Bartlett SPB, Gustavus, United States of America
KBRD;Brainerd-Crow Wing County Regional Airport, Brainerd, United States of America
KBRG;Municipal, Whitesburg, United States of America
KBRL;Burlington Regional Airport, Burlington, United States of America
KBRO;Brownsville / South Padre Island International Airport, Brownsville, United States of America
KBRY;SamueField, Bardstown, United States of America
KBSF;BradshAAF, Pohakuloa, United States of America
KBSM;Austin-Bergstrom International Airport, Bergstrom, United States of America
KBSQ;BisbMunicipArpt, Bisbee, United States of America
KBTF;SaLaSkypark, Bountiful, United States of America
KBTL;Kellogg Regional Airport, Battle Creek, United States of America
KBTM;oney Airport, Butte, United States of America
KBTP;GrahField, Butler, United States of America
KBTR;Baton Rouge Metropolitan, Ryan Field, Baton Rouge, United States of America
KBTV;Burlington International Airport, Burlington, United States of America
KBUB;Municipal, Burwell, United States of America
KBUF;Buffalo Niagara International Airport, Buffalo, United States of America
KBUR;Burbank-Glendale-Pasadena Airport, Burbank, United States of America
KBVD;Sea Port, Beaver Inlet, United States of America
KBVO;Bartlesville Municipal Airport, Bartlesville, United States of America
KBVY;Beverly Municipal Airport, Beverly, United States of America
KBWD;Brownwood Municipal Airport, Brownwood, United States of America
KBWG;Bowling Green-Warren County Regional Airport, Bowling Green, United States of America
KBWI;Baltimore/Washington International Thurgood Marshall Airport, Baltimore, United States of America
KBXA;George R Carr, Bogalusa, United States of America
KBYG;Municipal, Buffalo, United States of America
KBYG;Johnson County Airport, Buffalo, United States of America
KBYH;Eaker AFB, Blytheville, United States of America
KBYI;Burley Municipal Airport, Burley, United States of America
KBYS;Bicycle Lake U. S. Army Airfield, Fort Irwin, United States of America
KBZN;Gallatin Field, Bozeman, United States of America
KBZS;Buzzards Pt S, Washington, United States of America
KBZT;Hinkles Ferry, Brazoria, United States of America
KCAD;Wexford County, Cadillac, United States of America
KCAE;Columbia Metropolitan Airport, Columbia, United States of America
KCAK;Akron-Canton Regional Airport, Akron / Canton, United States of America
KCAO;Clayton Municipal Airpark, Clayton, United States of America
KCAR;Caribou Municipal Airport, Caribou, United States of America
KCBE;Wiley Ford, Cumberland, United States of America
KCBF;Municipal Airport, Council Bluffs, United States of America
KCBK;Municipal, Colby, United States of America
KCBM;Columbus AFB, Columbus, United States of America
KCCA;Chaffee AFB, Fort Chaffee, United States of America
KCCB;Cable, Upland, United States of America
KCCD;Century City, Los Angeles, United States of America
KCCG;Crane County Arpt, Crane, United States of America
KCCR;Buchanan Field, Concord, United States of America
KCCY;Municipal Airport, Charles City, United States of America
KCDC;Cedar City Municipal Airport, Cedar City, United States of America
KCDH;Harrell Field, Camden, United States of America
KCDK;Lewis, CedarKey, United States of America
KCDN;Woodward Fid, Camden, United States of America
KCDR;Chadron Municipal Airport, Chadron, United States of America
KCDS;Childress Municipal Airport, Childress, United States of America
KCDW;Caldweil Wright, Caldwell, United States of America
KCDW;Essex County Airport, Caldwell, United States of America
KCEA;Cessna Aircraft Field, Wichita, United States of America
KCEC;Mc Namara Fld, Crescent City, United States of America
KCEF;Westover Metropolitan Airport, Chicopee, United States of America
KCEF;Westover AFB., Chicopee Falls, United States of America
KCEF;Westover Metropolitan Airport, Springfield, United States of America
KCEU;Clemson-Oconee County Airport, Clemson, United States of America
KCEV;Mettle Field, Connersville, United States of America
KCEW;Bob Sikes Airport, Crestview, United States of America
KCEY;Calloway County, Murray, United States of America
KCEZ;Montezuma County Airport, Cortez, United States of America
KCFD;Coulter Field, Bryan, United States of America
KCFT;Morenci, Clitton, United States of America
KCFV;Coffeyville Municipal Airport, Coffeyville, United States of America
KCGA;Craig SPB, Craig, United States of America
KCGF;Cuyahoga County Airport, Cleveland, United States of America
KCGI;Cape Girardeau Regional Airport, Cape Girardeau, United States of America
KCGZ;Municipal, Casa Grande, United States of America
KCHA;Lovell Field, Chattanooga, United States of America
KCHD;Williams AFB, Chandler, United States of America
KCHI;Chicago FSS, Chicago, United States of America
KCHK;Municipal, Chickasha, United States of America
KCHO;Charlottesville-Albemarle Airport, Charlottesville, United States of America
KCHS;Charleston AFB Municipal, Charleston, United States of America
KCHZ;State, Chiloquin, United States of America
KCIB;Ap In The Sky, Catalina Island, United States of America
KCIC;Chico Municipal Airport, Chico, United States of America
KCID;Cedar Rapids Municipal Airport, Cedar Rapids, United States of America
KCIG;Craig-Molfat, Craig, United States of America
KCIL;Melsing Creek, Council, United States of America
KCIU;CH/Ppewa Count~, Sault Ste Marie, United States of America
KCKA;Kegelman AF, Cherokee, United States of America
KCKB;Benedurn Airport, Clarksburg, United States of America
KCKM;Fletcher Field, Clarksdale, United States of America
KCKN;Municipal Field, Crookston, United States of America
KCKU;City, Cordova, United States of America
KCKV;Outlaw Field, Clarksville, United States of America
KCLC;Metroport, Clearlake, United States of America
KCLE;Cleveland-Hopkins International Airport, Cleveland, United States of America
KCLK;Municipal, Clinton, United States of America
KCLL;Easterwood Field, College Station, United States of America
KCLM;William R Fairchild International Airport, Port Angeles, United States of America
KCLS;Centralia, Chehalis, United States of America
KCLT;Charlotte / Douglas International Airport, Charlotte, United States of America
KCLU;Columbus Municipal, Columbus, United States of America
KCLW;Executive, Clearwater, United States of America
KCMH;Port Columbus International Airport, Columbus, United States of America
KCMI;Urbana, University Of Illinois-Willard Airprot, Champaign, United States of America
KCMX;Houghton County Memorial Airport, Hancock, United States of America
KCMY;Camp Mccoy AAF, Sparta, United States of America
KCNH;Municipal, Claremont, United States of America
KCNK;Blosser Municipal Airport, Concordia, United States of America
KCNM;vern City Air Terminal, Carlsbad, United States of America
KCNO;Chino Airport, Chino, United States of America
KCNU;Chanute Martin Johnson Airport, Chanute, United States of America
KCNW;James Connall, Waco, United States of America
KCNY;Canyonlands Field, Moab, United States of America
KCOD;Yellowstone Regional, Cody / Yellowstone, United States of America
KCOF;Patrick AFB, Cocoa, United States of America
KCOI;Merritt Island, Cocoa, United States of America
KCON;Concord Municipal Airport, Concord, United States of America
KCOS;Peterson Field, Colorado Springs, United States of America
KCOS;City Of Colorado Springs Municipal Airprot, Colorado Springs, United States of America
KCOT;Cotulla-La Salle County Airport, Cotulla, United States of America
KCOU;Columbia Regional Airport, Columbia, United States of America
KCPR;Natrona County International Airport, Casper, United States of America
KCPS;St Louis Downtown-Parks Airport, Cahokia / St Louis, United States of America
KCPS;Bi-State Parks, St Louis, United States of America
KCRE;Grand Strand Airport, North Myrtle Beach, United States of America
KCRG;Craig Municipal Airport, Jacksonville, United States of America
KCRP;Corpus Christi International Airport, Corpus Christi, United States of America
KCRS;Campbell Field-Corsicana Municipal Airport, Corsicana, United States of America
KCRT;Municipal, Crossett, United States of America
KCRW;Yeager Airport, Charleston, United States of America
KCRX;Roscoe Turner, Corinth, United States of America
KCSL;O'Sullivan AAF, Camp San Luis Airport, United States of America
KCSM;Clinton-Sherman Airport, Clinton, United States of America
KCSP;Coast Guard Heliport, Cape Spencer, United States of America
KCSQ;Municipal Airport, Creston, United States of America
KCSV;Crossville Memorial Airport, Crossville, United States of America
KCTH;Chestercounty Carlson, Coatesviile, United States of America
KCTO;Peconic River, Calverton / Grumman, United States of America
KCTY;Cross City Airport, Cross City, United States of America
KCTZ;Sampson County, Clinton, United States of America
KCUB;Columbia Owens Downtown Airport, Columbia, United States of America
KCUH;Municipal, Cushing, United States of America
KCUS;Municipal, Columbus, United States of America
KCUX;Cuddihy Field, Corpus Christi, United States of America
KCVA;Civic Ar Heli, Pittsburgh, United States of America
KCVG;Cincinnati / Northern Kentucky International Airport, Covington / Cincinnati, United States of America
KCVN;Municipal, Clovis, United States of America
KCVO;Municipal Airport, Corvallis / Albany, United States of America
KCVR;Hughes, Culver City, United States of America
KCVS;Cannon AFB, Clovis, United States of America
KCWA;Central Wisconsin, WauSau, United States of America
KCWO;Ft Wolter AAF, Mineral Wells, United States of America
KCXC;Chitina Arpt, Chitina, United States of America
KCXL;international, Calexico, United States of America
KCXO;Montgomery County Airport, Conroe, United States of America
KCYF;Cnefornak SPB, Chefornak, United States of America
KCYM;Chatham SPB, Chatham, United States of America
KCYS;Cheyenne Airport, Cheyenne, United States of America
KCYT;Intermediate, Yakatapa, United States of America
KCZK;Cascade Locks / Stevens, Cascade Locks State, United States of America
KCZN;Chisana Field, Chisana, United States of America
KDAA;Davison AAF, Fort Belvoir, United States of America
KDAB;Daytona Beach Regional Airport, Daytona Beach, United States of America
KDAG;Barstow-Daggett Airport, Daggett, United States of America
KDAL;Dallas Love Field, Dallas, United States of America
KDAN;Municipal, Danville, United States of America
KDAN;Danville Regional Airport, Danville, United States of America
KDAY;James Cox Dayton International Airport, Dayton, United States of America
KDBN;Municipal, Dublin, United States of America
KDBQ;Municipal, Dubuque, United States of America
KDBQ;Dubuque Regional Airport, Dubuque, United States of America
KDCA;Ronald Reagan National Airport, Washington, United States of America
KDCK;Dahl Creek Arpt, Dahl Creek, United States of America
KDCR;Decatur Hi-Way, Decatur, United States of America
KDCU;Pyor Field, Decatur, United States of America
KDDC;Dodge City Regional Airport, Dodge City, United States of America
KDDC;Dodge City Municipal, Dodge City, United States of America
KDEC;Decatur Airport, Decatur, United States of America
KDED;DeLand Municipal Airport-Sidney H Taylor Field, Deland, United States of America
KDEH;Municipal Airport, Decorah, United States of America
KDEN;Denver International Airport, Denver, United States of America
KDEO;Hyatt Regency H/P, Dearborn, United States of America
KDET;Detroit City Airport, Detroit, United States of America
KDFI;Defiance Memorial Airport, Defiance, United States of America
KDFW;Dallas / Fort Worth International Airport, Dallas / Fort Worth, United States of America
KDGL;Douglas Municipal, Douglas, United States of America
KDGN;NAF, Dahigren, United States of America
KDGW;Converse County Airport, Douglas, United States of America
KDHN;Dothan Airport, Dothan, United States of America
KDHT;Dalhart Municipal Airport, Dalhart, United States of America
KDIK;Dickinson Municipal Airport, Dickinson, United States of America
KDKK;Chautauqua County / Dunkirk Airport, Dunkirk, United States of America
KDLF;Laughlin AFB Auxiliary Airfield, Del Rio, United States of America
KDLH;Duluth International Airport, Duluth, United States of America
KDLN;Dillon Airport, Dillon, United States of America
KDLS;The Dalles Municipal Airport, The Dalles, United States of America
KDMA;Davis Monthan AFB, Tucson, United States of America
KDMN;Deming Municipal Airport, Deming, United States of America
KDMO;Sedalia Memorial Airport, Sedalia, United States of America
KDNE;Dallas North Airport, Dallas, United States of America
KDNL;Daniel Field, Augusta, United States of America
KDNN;Municipal, Dalton, United States of America
KDNS;Municipal, Denison, United States of America
KDNT;Downtown Heliport, Santa Ana, United States of America
KDNV;Vermilion County, Danville, United States of America
KDOV;Dover AFB, Dover-Cheswold, United States of America
KDPA;West Chicago, Dupage Airport, Chicago, United States of America
KDPG;Proving Grounds, Dugway, United States of America
KDPG;Michael AAF, Dugway, United States of America
KDRA;Desen, Rock Airport, Mercury, United States of America
KDRI;Beauregard Parish, De Ridder, United States of America
KDRO;Durango-La Plata County Airport, Durango, United States of America
KDRT;Rio International Airport, Del Rio, United States of America
KDSM;Des Moines International Airport, Des Moines, United States of America
KDSV;Dansville Municipal Airport, Dansville, United States of America
KDTL;Municcal, Detroit Lakes, United States of America
KDTN;Shreveport Downtown Airport, Shreveport, United States of America
KDTW;Wayne County, Detroit, United States of America
KDUA;Eaker, Durant, United States of America
KDUC;Halliburton, Duncan, United States of America
KDUF;Pine Island Airport, Duck, United States of America
KDUG;Bisbee-Douglas International, Douglas, United States of America
KDUJ;Jefferson County, Dubois, United States of America
KDUT;Emergency Field, Dutch Harbor, United States of America
KDVN;Davenport Municipal Airport, Davenport, United States of America
KDVT;Phoenix-Deer Valley Municipal Airport, Phoenix, United States of America
KDWF;Wright AFB, Daylon, United States of America
KDWH;David Wayne Hooks Memorial Airport, Houston, United States of America
KDWN;Downtown Airpark, Oklahoma City, United States of America
KDWS;Walt Disney World, Orlando, United States of America
KDXR;Danbury Municipal Airport, Danbury, United States of America
KDYS;Dyess AFB, Abilene, United States of America
KEAA;Eagle Airport, Eagle, United States of America
KEAN;Phifer Field, Wheatland, United States of America
KEAT;Panaborr, Field, Wenatchee, United States of America
KEAT;ngborn Memorial Airport, Wenatchee, United States of America
KEAU;Eau Claire County Airport, Eau Claire, United States of America
KEBR;Downtown, Baton Rouge, United States of America
KEBS;Municipal Airport, Webster City, United States of America
KECA;Emmet County Airport, East Tawas, United States of America
KECG;Elizabeth City Coast Guard Air Station, Elizabeth City, United States of America
KECS;Mondell, Newcastle, United States of America
KEDE;Municipal, Edenton, United States of America
KEDG;Weide AAF, Edgewood, United States of America
KEED;Needles Airport, Needles, United States of America
KEEN;Dillant-Hopkins, Keene, United States of America
KEFD;Ellington Fieid, Houston, United States of America
KEFW;Municipal, Jefferson, United States of America
KEGE;Eagle County, Vail/Eagle, United States of America
KEGI;Duke Field / Elgiun Auxiliary, Valparaiso, United States of America
KEGP;Maverick Co, Eagle Pass, United States of America
KEHT;Rentschler, East Hartford, United States of America
KEKA;Murray Field, Eureka, United States of America
KEKI;Municipal, Elkhart, United States of America
KEKN;Elkins-Randolph County-Jennings Randolph Field, Elkins, United States of America
KEKO;Elko Municipal-Harris Field, Elko, United States of America
KELD;Goodwin Field, El Dorado, United States of America
KELD;South Arkansas Regional Airport, El Dorado, United States of America
KELF;Weedon Field, Eufaula, United States of America
KELK;Municipal, Elk City, United States of America
KELM;Elmira / Corning Regional Airport, Elmira / Corning, United States of America
KELN;Bowers Field, Ellensburg, United States of America
KELP;El Paso International Airport, El Paso, United States of America
KELV;Elfin Cove SPB, Elfin Cove, United States of America
KELY;Ely Airport, Ely, United States of America
KELY;Yefland, Ely, United States of America
KELZ;Wellsville Municipal Airport, Wellsville, United States of America
KEMB;Embarkadero, San Francisco, United States of America
KEMP;Emporia Municipal Airport, Emporia, United States of America
KEND;Vance AFB, Enid, United States of America
KENL;Municipal, Centralia, United States of America
KENN;Nenana Municipal Airport, Nenana, United States of America
KENV;AF Auxiliary Field, Wendover, United States of America
KENW;Municipal, Kenosha, United States of America
KENW;Kenosha Regional Airport, Kenosha, United States of America
KEOK;Municipal Airport, Keokuk, United States of America
KEPG;Browns, Weeping Water, United States of America
KEPH;Ephrata Municipal Airport, Ephrata, United States of America
KERI;Erie International Airport, Erie, United States of America
KERO;Coast Guard, Eldred Rock, United States of America
KERV;Municipal Airport, Kerrville, United States of America
KESC;Delta County Airport, Escanaba, United States of America
KESD;Orcas Island, Eastsound, United States of America
KESF;Alexandria Esler Regional Airport, Alexandria, United States of America
KESN;Newman Field, Easton, United States of America
KESP;Birchwood-Pocono, East Strouctsburg, United States of America
KEST;Estherville Municipal Airport, Estherville, United States of America
KESW;State, Easton, United States of America
KETN;Municipal, Eastland, United States of America
